,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,rmsSum,zcrMean,zcrStd,spectralCentroidMean,spectralCentroidStd,spectralBandwidthMean,spectralBandwidthStd,spectralContrastMean,spectralContrastStd,spectralFlatnessMean,spectralFlatnessStd,spectralRolloffMean,spectralRolloffStd,spectralEnergy250-650,spectralEnergy1000-8000,spectralRolloff25,spectralRolloff50,spectralRolloff75,spectralRolloff90,onsetStrength,mean,std,var,skew,kurtosis,localJitter,localAbsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,envelopeMean,envelopeStd,age
1.wav,-548.7371826171875,33.40537643432617,-3.6316800117492676,9.136490821838379,-9.173691749572754,-17.124664306640625,-4.54518461227417,-12.285097122192383,-16.93763542175293,-9.247632026672363,-11.691190719604492,-1.3058784008026123,-7.625733375549316,-4.620973110198975,18.433021545410156,0.19809259238546886,0.22234843813142482,3179.8889470152935,2607.9552179059197,1439.663020178911,859.4687105483507,21.84454250548968,7.483886184643216,0.16157548129558563,0.3621949553489685,4597.346574132069,3159.9762331210545,89055.5390625,326483.4375,2193.172922864844,3045.245007437813,3972.3056626644147,4995.780194445687,1.4232853651046753,4.877590527030407e-07,0.02119872346520424,0.00044938590144738555,-0.8502930402755737,32.60544967651367,0.00929743532393002,2.0843439800872007e-05,0.0032102787971288295,0.0035933729606302017,0.00963083639138649,0.08910269897870071,0.8619692698427696,0.028923731439825177,0.04208173562676757,0.07933118563448414,0.08677119431947553,0.01450229063630104,0.02623843215405941,24.0
2.wav,-512.3803100585938,68.65274047851562,9.314569473266602,22.72185707092285,0.4710322916507721,-10.763703346252441,-10.055763244628906,-10.011316299438477,-6.836995601654053,-14.921503067016602,-10.384237289428711,-3.0022313594818115,-12.686497688293457,-3.986510992050171,17.028703689575195,0.1508945898019272,0.16432457865905722,2127.119077705214,2202.031104434194,1271.0328840185505,884.3111557496975,21.451614436840266,8.276847933016132,0.03854379802942276,0.17702984809875488,3354.7070521614028,3155.9289509652776,147235.9375,180189.25,1237.0410208528506,1866.184040208445,2788.169400135506,3746.166390984676,1.6079211235046387,3.7155252357479185e-05,0.027973704040050507,0.0007825281354598701,-0.7206156253814697,28.472904205322266,0.021185457993091798,5.515381045325839e-05,0.011524462573906583,0.010321646559717406,0.03457338772171975,0.11376292465193001,1.0204889657062926,0.043719209098141795,0.05196104446777738,0.09997394550756614,0.13115762729442537,0.019481349736452103,0.0344315841794014,22.5
3.wav,-532.7697143554688,39.76498794555664,20.62763214111328,22.441829681396484,7.999910831451416,-1.7069419622421265,-6.074274063110352,-5.481361389160156,-13.541748046875,-1.3530776500701904,-1.5906647443771362,-6.185088157653809,-2.6279354095458984,1.2859805822372437,11.199883460998535,0.1783986581920904,0.18263367228975708,2674.5972687583353,2398.4307302230136,1460.6136501651415,850.2151405031528,16.462196276430536,5.490451434747936,0.101415254175663,0.29383939504623413,3961.7444054555085,3106.3554788686374,61667.3125,67482.734375,1716.9383938029662,2359.9903998940677,3359.2526814088983,4421.958835407839,1.9711036682128906,7.416997686959803e-05,0.017552396282553673,0.0003080866299569607,0.7296203970909119,26.66802978515625,0.013202229660080694,2.904662523177027e-05,0.005899582878523499,0.006125736171312654,0.0176987486355705,0.0904912518016473,0.8702895863641638,0.030154933045486023,0.040906233586145216,0.06812913828754956,0.09046479913645807,0.013717761263251305,0.02068820223212242,22.0
4.wav,-445.4997863769531,37.17068099975586,19.88827896118164,19.372610092163086,-4.332464218139648,-14.166314125061035,-22.61170196533203,-10.011528968811035,-17.30770492553711,-10.432197570800781,-2.049642562866211,-8.524413108825684,-8.696004867553711,-1.8037145137786865,38.34576416015625,0.19028923002745815,0.2069506338163205,3051.51456144327,2689.8143764893052,1460.8586911505422,863.1790103810001,23.014501223691475,6.988517789001888,0.093414306640625,0.28803032636642456,4420.275572453583,3403.686846140475,636597.5,707368.375,2028.7610935865587,2921.6457223293673,3882.5198632403894,4817.412257493789,1.987680196762085,-1.865192643890623e-05,0.05377553403377533,0.0028918080497533083,0.21360187232494354,10.733329772949219,0.016863596054600638,3.925047271968564e-05,0.008059302537412215,0.00826412831084253,0.024177907612236642,0.10739716443383927,1.057514670665415,0.0387222207593317,0.057535967134828434,0.10314265802331928,0.1161666622779951,0.04518976807594299,0.061167821288108826,22.0
5.wav,-493.1372985839844,57.23625183105469,22.253034591674805,27.66590118408203,18.766252517700195,9.265813827514648,-3.8851189613342285,-2.824263095855713,-14.273683547973633,-6.273092746734619,-3.6752190589904785,-6.287269115447998,-3.874265432357788,-3.2472400665283203,15.863574981689453,0.17406602161924553,0.17728958606060452,2262.610723899898,2280.7452638574878,1287.5792413169522,973.806586160958,18.67742537433788,6.242051964570309,0.01597917079925537,0.10238621383905411,3442.090780350863,3157.064485488107,168596.5625,216585.015625,1450.1731150595429,2079.8816261389065,2889.9513654391785,3829.2753956202046,1.7244786024093628,1.3642223166243639e-05,0.029234493151307106,0.000854655634611845,-0.1141417920589447,29.118572235107422,0.023463391903840253,0.0001009399609267239,0.009302478734049926,0.010225466631743266,0.027907436202149777,0.15331668463099749,1.3091344315914202,0.04844722861027679,0.07584421236371197,0.14188843342301644,0.14534168583083037,0.021978912875056267,0.035017695277929306,22.0
6.wav,-450.3338928222656,45.49893569946289,24.333620071411133,15.6207857131958,1.9785141944885254,-10.874465942382812,-13.440317153930664,-4.97648811340332,-9.913764953613281,-6.133027076721191,-3.159808397293091,-3.3375868797302246,-5.487514495849609,0.5189135074615479,37.926246643066406,0.1775665713028169,0.21099129355599905,2429.0258883419524,2630.5641677505214,1051.4832729959448,781.5216745012499,21.421247505089717,6.740842613422781,0.14645926654338837,0.347954660654068,3410.283134352993,3286.665375966737,881628.0,443402.625,1728.9746781470071,2279.4361383142605,2967.76064590669,3703.2459011883802,1.3805389404296875,2.624976104925736e-06,0.05657268315553665,0.003200468374416232,-0.11538831889629364,21.31269073486328,0.018217869962680308,5.357524272145432e-05,0.006755157713853617,0.007630809515813313,0.020265473141560852,0.10253181214789994,0.9887889014425911,0.03237365884487561,0.0476213767719882,0.0845604074405738,0.09712097653462681,0.039097029715776443,0.06980228424072266,33.0
7.wav,-514.51708984375,41.7733154296875,4.77800178527832,19.406288146972656,3.6939711570739746,-1.8044780492782593,-3.415597438812256,-6.8629255294799805,-8.956557273864746,-3.846890687942505,-6.4052252769470215,-5.850638389587402,-5.249947547912598,-0.891385018825531,13.949344635009766,0.1895797332423327,0.1657167526224092,2443.2538237313784,2121.6159621683073,1248.1513189280013,807.6446825227514,18.88242099843594,7.88784439439397,0.0660376250743866,0.23377066850662231,3573.751252468634,2946.263068895588,169999.875,99643.890625,1629.4290875856761,2186.59071230977,3063.8886292184598,3960.528405625581,1.731777310371399,-1.5225995753098687e-07,0.020398365333676338,0.00041609330219216645,1.2568769454956055,46.12827682495117,0.020571425996945825,9.94754554433259e-05,0.009484158920874461,0.009751184525875216,0.028452476762623385,0.15843093816372567,1.4466984615854093,0.05575112637580389,0.06990076649963199,0.12995043486519386,0.16725337912741167,0.01299813762307167,0.02575334720313549,18.0
8.wav,-465.4905090332031,48.80286407470703,22.9609375,47.32789611816406,21.992918014526367,-4.991036415100098,9.316731452941895,-4.3937087059021,0.10141188651323318,14.878762245178223,-14.661670684814453,21.301677703857422,-9.167163848876953,-1.6106934547424316,0.6505982875823975,0.19494008209745764,0.2001383484564925,3255.524632976891,2070.0324707920045,2486.419962794705,578.6977572329959,18.240742898975224,6.365622130191964,0.00723331468179822,0.011288131587207317,5734.583967823093,2711.6848482474497,2241.43212890625,1574.847900390625,1484.148652674788,2837.63820842161,4470.694435248941,6575.656283103814,2.3013246059417725,-0.000643522129394114,0.013213333673775196,0.000174592190887779,-0.15388327836990356,3.463571071624756,0.011303067309395159,2.752514213447354e-05,0.005282248284159561,0.005204510907989131,0.015846744852478684,0.08859299673687222,0.8422620220223255,0.034235122289060775,0.046624554180309204,0.09344181440055868,0.10270536686718232,0.01337418332695961,0.013066357001662254,18.0
9.wav,-586.9500122070312,88.1073989868164,23.675931930541992,21.686874389648438,-6.09529447555542,-11.742486000061035,3.706411123275757,-9.292547225952148,-3.304192304611206,-3.7387824058532715,-3.097362518310547,-9.408524513244629,-2.737788200378418,-1.2860008478164673,0.5404396653175354,0.06918658088235294,0.04862025049875636,1779.9150158602508,1108.4395283322149,2202.732101007636,791.4004534923338,25.8341415361199,6.08783853664189,0.0009112498955801129,0.0011763902148231864,3247.080365349265,2456.344814746728,2010.8087158203125,1107.0726318359375,387.7243221507353,1154.4330193014705,2241.3531135110293,4263.194221047794,1.8948619365692139,-0.00026123420684598386,0.00829274021089077,6.876953557366505e-05,-0.08488655090332031,11.917985916137695,0.017305849229041964,4.8039488060123686e-05,0.009404433461457409,0.008319763879003338,0.028213300384372225,0.10196636807342094,0.9727350765984306,0.03646057924150213,0.04160741773972736,0.09219118490229768,0.10938173772450639,0.007151252590119839,0.009298756718635559,18.0
10.wav,-395.2289733886719,113.0261459350586,13.580706596374512,42.47264099121094,24.289226531982422,5.8421478271484375,16.072824478149414,-3.5311801433563232,0.6594544649124146,5.629507541656494,-6.831137657165527,1.9854146242141724,2.6436076164245605,-8.37985610961914,2.3989596366882324,0.087548828125,0.13150280115216667,1570.09122176952,1731.8323792630313,1393.1046364943456,770.4255221837423,18.30890518250232,6.058649928814193,0.0018185257213190198,0.005338645074516535,2836.99951171875,2752.1656888600187,57610.84375,15019.7763671875,696.419677734375,1148.258056640625,2142.015380859375,3269.637451171875,2.032205820083618,-0.00047120547969825566,0.0531979575753212,0.0028300227131694555,1.0304439067840576,11.121930122375488,0.014649662101161127,6.83302590736258e-05,0.005423795959995672,0.0059761631396703044,0.016271387879987016,0.12605313439645463,1.1228723394565479,0.029524846209501413,0.052891565181285315,0.25366624660534687,0.08857453862850424,0.04428946599364281,0.06081702187657356,18.0
