,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,rmsSum,zcrMean,zcrStd,spectralCentroidMean,spectralCentroidStd,spectralBandwidthMean,spectralBandwidthStd,spectralContrastMean,spectralContrastStd,spectralFlatnessMean,spectralFlatnessStd,spectralRolloffMean,spectralRolloffStd,spectralEnergy250-650,spectralEnergy1000-8000,spectralRolloff25,spectralRolloff50,spectralRolloff75,spectralRolloff90,onsetStrength,mean,std,var,skew,kurtosis,localJitter,localAbsoluteJitter,rapJitter,ppq5Jitter,ddpJitter,localShimmer,localdbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,envelopeMean,envelopeStd
1.wav,-541.1322021484375,44.1183967590332,8.87820053100586,23.846864700317383,6.513176441192627,-0.7002973556518555,-0.26286447048187256,4.945098876953125,-9.054121017456055,2.1359543800354004,-2.8861007690429688,-0.950006902217865,-0.7338685989379883,1.2442944049835205,18.433807373046875,0.13544059296135647,0.16642884067896693,2167.3293252973485,2178.2324105609796,1393.0949235766786,892.9420119363608,19.89226986404989,5.810972125447639,0.10814780741930008,0.295758455991745,3323.7619836849367,3017.3655261634735,141491.359375,147827.6875,1261.8932527848974,1909.9883243789432,2742.800239057571,3797.9815346510254,1.3620203733444214,1.1227077266084962e-05,0.018937518820166588,0.00035862959339283407,-0.3811071813106537,36.635459899902344,0.00929743532393002,2.0843439800872007e-05,0.0032102787971288295,0.0035933729606302017,0.00963083639138649,0.08910269897870071,0.8619692698427696,0.028923731439825177,0.04208173562676757,0.07933118563448414,0.08677119431947553,0.01450229063630104,0.02623843215405941
2.wav,-506.78289794921875,45.72358322143555,29.43628692626953,28.78423309326172,13.0982027053833,9.27161693572998,-1.9094887971878052,-7.920083522796631,-8.340045928955078,-12.961044311523438,-8.752344131469727,-1.0633567571640015,-6.733384132385254,1.6365399360656738,27.24549674987793,0.18240718203837386,0.21210552488900927,2481.741961843404,2626.2250110678983,1202.2283019849435,850.0426653305886,19.610149850783948,5.749863832564298,0.08187451958656311,0.2651274800300598,3608.8813944065823,3324.796231662269,421095.375,157228.96875,1698.300495553524,2281.0878023188166,3114.9840009973404,3981.499075382314,1.7690343856811523,0.0002355588076170534,0.028254784643650055,0.0007983328541740775,0.1730072945356369,10.583192825317383,0.021185457993091798,5.515381045325839e-05,0.011524462573906583,0.010321646559717406,0.03457338772171975,0.11376292465193001,1.0204889657062926,0.043719209098141795,0.05196104446777738,0.09997394550756614,0.13115762729442537,0.019481349736452103,0.0344315841794014
3.wav,-392.44244384765625,111.38735961914062,6.213013172149658,27.20884132385254,18.370773315429688,-2.183954954147339,-1.473737120628357,-5.780756950378418,-1.7548925876617432,0.2948806583881378,-8.587786674499512,8.768745422363281,-13.622270584106445,-4.110678195953369,2.423252582550049,0.1199794671474359,0.12294654708724176,1959.7883429383905,1689.9587794872825,1763.6747283599484,860.5279416771298,17.25030385845436,6.83439285659557,0.006427702959626913,0.020871782675385475,3434.959998497596,2738.7648310398936,34327.546875,23421.388671875,801.9737830528846,1616.094501201923,2649.5502178485576,3999.9305138221152,2.003573417663574,-0.00045128422789275646,0.03875002637505531,0.00150156463496387,-0.2618744373321533,6.279129981994629,0.013202229660080694,2.904662523177027e-05,0.005899582878523499,0.006125736171312654,0.0176987486355705,0.0904912518016473,0.8702895863641638,0.030154933045486023,0.040906233586145216,0.06812913828754956,0.09046479913645807,0.013717761263251305,0.02068820223212242
4.wav,-497.5973815917969,65.2726821899414,14.697876930236816,25.732059478759766,11.247981071472168,0.08221254497766495,-5.142658710479736,-5.8878374099731445,-8.077192306518555,-6.562119007110596,-8.118617057800293,-5.088957786560059,-8.8803071975708,-6.862247943878174,34.19048309326172,0.1557334557073496,0.18499445337527248,2136.611208726537,2340.7222963837585,1108.8123475891625,901.6415448733642,22.626924341059972,8.655977890892624,0.14397969841957092,0.34249094128608704,3111.4740515517897,3044.0822534137646,899531.9375,159201.1875,1447.1772100211824,1896.2338751904038,2622.335780565737,3472.0035038735246,1.4727771282196045,8.596491625212366e-07,0.038131922483444214,0.0014540435513481498,-0.992250382900238,10.688735961914062,0.016863596054600638,3.925047271968564e-05,0.008059302537412215,0.00826412831084253,0.024177907612236642,0.10739716443383927,1.057514670665415,0.0387222207593317,0.057535967134828434,0.10314265802331928,0.1161666622779951,0.04518976807594299,0.061167821288108826
5.wav,-552.7686767578125,32.64927291870117,10.3270263671875,22.73752784729004,8.310443878173828,1.8219913244247437,-1.1432164907455444,-9.971587181091309,-8.002439498901367,-4.034125804901123,-8.864691734313965,-3.448085069656372,-1.37877357006073,-7.741640090942383,14.7415771484375,0.1717138233299027,0.19763783068005916,2303.452455479455,2442.7024737220245,1160.9392002116363,905.493636002686,20.68798325356437,7.080796490994241,0.16690988838672638,0.36075568199157715,3368.689111035741,3238.301399731584,103194.7890625,170564.359375,1538.3346100767214,2117.0958558956304,2858.895362351469,3709.8840039647266,1.3752739429473877,3.41859134778133e-07,0.018254894763231277,0.00033324118703603745,-0.8624302744865417,37.576847076416016,0.023463391903840253,0.0001009399609267239,0.009302478734049926,0.010225466631743266,0.027907436202149777,0.15331668463099749,1.3091344315914202,0.04844722861027679,0.07584421236371197,0.14188843342301644,0.14534168583083037,0.021978912875056267,0.035017695277929306
6.wav,-539.8707275390625,75.45767211914062,10.328392028808594,47.00722885131836,3.093168258666992,-4.385849475860596,6.345239162445068,-16.53746795654297,9.915948867797852,-15.128615379333496,-16.76118278503418,8.253190994262695,-10.002114295959473,0.48566707968711853,0.9890932440757751,0.08555653331043957,0.06807619866121557,2105.318145712508,1503.7164531676399,2012.736950523692,485.95921688245744,17.172981393545335,3.6601931129193392,0.0010359686566516757,0.0014748667599633336,3703.119365985577,2230.855057043042,6784.7646484375,10276.9111328125,830.3297776442307,1594.8768028846155,2751.044170673077,4370.057091346154,2.2258424758911133,-0.00016971926379483193,0.015961281955242157,0.00025476253358647227,-0.10396342724561691,11.939552307128906,0.018217869962680308,5.357524272145432e-05,0.006755157713853617,0.007630809515813313,0.020265473141560852,0.10253181214789994,0.9887889014425911,0.03237365884487561,0.0476213767719882,0.0845604074405738,0.09712097653462681,0.039097029715776443,0.06980228424072266
7.wav,-515.5345458984375,46.077213287353516,9.257169723510742,12.928374290466309,0.4702909290790558,-4.082309246063232,-9.906764030456543,-12.352286338806152,-17.689327239990234,-13.723264694213867,-10.558707237243652,-7.425992488861084,-7.252721309661865,-3.831672191619873,16.431549072265625,0.2085299708024977,0.21068158859397557,2678.6275286740697,2545.433459759686,1321.1619726809097,808.9662626769502,17.425111607735918,5.494243485668391,0.07627901434898376,0.2524964213371277,3878.8350404356497,3288.169603702931,227259.0,93878.7890625,1844.01706409719,2423.421577785326,3328.3340214139107,4269.8489264136215,1.61734938621521,-1.566303581057582e-06,0.022240543738007545,0.0004946417757309973,-0.4403015077114105,17.121129989624023,0.020571425996945825,9.94754554433259e-05,0.009484158920874461,0.009751184525875216,0.028452476762623385,0.15843093816372567,1.4466984615854093,0.05575112637580389,0.06990076649963199,0.12995043486519386,0.16725337912741167,0.01299813762307167,0.02575334720313549
8.wav,-398.9781799316406,85.2957992553711,14.645315170288086,31.849287033081055,7.434003829956055,-1.282378077507019,-2.026421546936035,-4.593965530395508,-5.771745681762695,-7.308910846710205,2.635624408721924,-6.564075946807861,-5.034430503845215,-1.7552335262298584,2.850297451019287,0.10143729967948718,0.07425471314688839,1986.8947694673716,951.3834372404257,2141.1437705779563,739.4509690248028,15.533712801443881,6.634378026806432,0.0031609386205673218,0.01759852096438408,3683.558067908654,2302.9097146310837,33123.75390625,33586.3671875,643.0973933293269,1268.9406174879807,2677.570988581731,4604.654634915865,2.534778594970703,-0.00012954341946169734,0.046077076345682144,0.0021230969578027725,0.45373502373695374,8.989295959472656,0.011303067309395159,2.752514213447354e-05,0.005282248284159561,0.005204510907989131,0.015846744852478684,0.08859299673687222,0.8422620220223255,0.034235122289060775,0.046624554180309204,0.09344181440055868,0.10270536686718232,0.01337418332695961,0.013066357001662254
9.wav,-466.1397399902344,41.536197662353516,3.8960940837860107,9.832075119018555,0.8891533613204956,-4.175881862640381,-10.513045310974121,-6.774888515472412,-12.995041847229004,-11.550374984741211,-12.212791442871094,-7.644757270812988,-5.857995986938477,-7.254128456115723,39.0242919921875,0.17699752658647142,0.19534745051599944,2710.4500145760016,2347.2373929206733,1384.1083864367959,856.6102905817072,22.012104135861215,7.663547699785083,0.17160345613956451,0.3701283037662506,4066.974872924294,3080.6822303943122,709193.75,1009106.0625,1735.8179323842835,2425.6913061421287,3417.4950252516996,4494.793369181485,1.314790964126587,1.5337454897235148e-05,0.04863304644823074,0.0023651730734854937,-0.2209111750125885,35.64791488647461,0.017305849229041964,4.8039488060123686e-05,0.009404433461457409,0.008319763879003338,0.028213300384372225,0.10196636807342094,0.9727350765984306,0.03646057924150213,0.04160741773972736,0.09219118490229768,0.10938173772450639,0.007151252590119839,0.009298756718635559
10.wav,-496.46990966796875,89.49127197265625,40.576080322265625,11.002501487731934,-11.569305419921875,-24.134353637695312,-1.0518661737442017,19.28333282470703,-10.029945373535156,-6.922064304351807,7.817295551300049,-6.335143566131592,-7.859425067901611,10.265541076660156,1.0635228157043457,0.11504420230263158,0.12505669150960647,2368.8206517868075,1458.0089367529063,2573.1365790498116,539.6149964819679,16.7153521430213,5.280259223850018,0.006736125331372023,0.016881544142961502,4708.064864309211,2832.0045158985035,9886.3759765625,821.0944213867188,721.022306743421,1393.0849095394738,3235.080437911184,6054.9100534539475,1.9326962232589722,-0.0002602734602987766,0.014244402758777142,0.00020290301472414285,0.2605552077293396,6.636540412902832,0.014649662101161127,6.83302590736258e-05,0.005423795959995672,0.0059761631396703044,0.016271387879987016,0.12605313439645463,1.1228723394565479,0.029524846209501413,0.052891565181285315,0.25366624660534687,0.08857453862850424,0.04428946599364281,0.06081702187657356
