l2_regularization,learning_rate,loss,max_depth,max_iter,min_samples_leaf,quantile,score
0,0.3,quantile,15,100,10,0.1,-14.595575359523844
0,0.3,quantile,15,100,10,0.2,-12.904691702089528
0,0.3,quantile,15,100,10,0.3,-11.654964859730716
0,0.3,quantile,15,100,10,0.4,-10.75193574622695
0,0.3,quantile,15,100,10,0.5,-10.197708424464743
0,0.3,quantile,15,100,10,0.6,-10.215183313979823
0,0.3,quantile,15,100,10,0.7,-10.429024291349602
0,0.3,quantile,15,100,10,0.8,-11.185387051153869
0,0.3,quantile,15,100,10,0.9,-13.070043079173507
0,0.3,quantile,15,100,20,0.1,-14.546936850839154
0,0.3,quantile,15,100,20,0.2,-12.800353303975715
0,0.3,quantile,15,100,20,0.3,-11.630642877887762
0,0.3,quantile,15,100,20,0.4,-10.641748915560427
0,0.3,quantile,15,100,20,0.5,-10.265245979954095
0,0.3,quantile,15,100,20,0.6,-10.114777596130722
0,0.3,quantile,15,100,20,0.7,-10.392124420719144
0,0.3,quantile,15,100,20,0.8,-11.010629903829741
0,0.3,quantile,15,100,20,0.9,-13.21015700151369
0,0.3,quantile,15,100,30,0.1,-14.391126662193747
0,0.3,quantile,15,100,30,0.2,-12.765051878517836
0,0.3,quantile,15,100,30,0.3,-11.552251301345196
0,0.3,quantile,15,100,30,0.4,-10.608422367712475
0,0.3,quantile,15,100,30,0.5,-10.321937407247223
0,0.3,quantile,15,100,30,0.6,-10.140721365664632
0,0.3,quantile,15,100,30,0.7,-10.282644140739102
0,0.3,quantile,15,100,30,0.8,-11.143162495588454
0,0.3,quantile,15,100,30,0.9,-13.353274435426766
0,0.3,quantile,15,100,40,0.1,-14.251954279287201
0,0.3,quantile,15,100,40,0.2,-12.65088441858465
0,0.3,quantile,15,100,40,0.3,-11.52798504580111
0,0.3,quantile,15,100,40,0.4,-10.694338962562247
0,0.3,quantile,15,100,40,0.5,-10.249543013943022
0,0.3,quantile,15,100,40,0.6,-10.174123067026333
0,0.3,quantile,15,100,40,0.7,-10.424526989946514
0,0.3,quantile,15,100,40,0.8,-11.236913056657695
0,0.3,quantile,15,100,40,0.9,-13.582576064778781
0,0.3,quantile,15,100,50,0.1,-14.092493408482948
0,0.3,quantile,15,100,50,0.2,-12.581130529443426
0,0.3,quantile,15,100,50,0.3,-11.488556294795563
0,0.3,quantile,15,100,50,0.4,-10.675910833108466
0,0.3,quantile,15,100,50,0.5,-10.217983533127635
0,0.3,quantile,15,100,50,0.6,-10.214454371951815
0,0.3,quantile,15,100,50,0.7,-10.37394193961384
0,0.3,quantile,15,100,50,0.8,-11.11941385736589
0,0.3,quantile,15,100,50,0.9,-13.786361514733661
0,0.3,quantile,15,100,10,0.1,-14.529820366949973
0,0.3,quantile,15,100,10,0.2,-12.835756118236574
0,0.3,quantile,15,100,10,0.3,-11.587767013169305
0,0.3,quantile,15,100,10,0.4,-10.631842765980506
0,0.3,quantile,15,100,10,0.5,-10.271152686800493
0,0.3,quantile,15,100,10,0.6,-10.2932732497624
0,0.3,quantile,15,100,10,0.7,-10.657162555288274
0,0.3,quantile,15,100,10,0.8,-11.05179582145109
0,0.3,quantile,15,100,10,0.9,-12.68969577356923
0,0.3,quantile,15,100,20,0.1,-14.407289021049701
0,0.3,quantile,15,100,20,0.2,-12.804865989950681
0,0.3,quantile,15,100,20,0.3,-11.57442013085484
0,0.3,quantile,15,100,20,0.4,-10.58363719725835
0,0.3,quantile,15,100,20,0.5,-10.346580620662314
0,0.3,quantile,15,100,20,0.6,-10.156372973807386
0,0.3,quantile,15,100,20,0.7,-10.486525472473652
0,0.3,quantile,15,100,20,0.8,-10.967583282586713
0,0.3,quantile,15,100,20,0.9,-13.01050643750978
0,0.3,quantile,15,100,30,0.1,-14.23336464819663
0,0.3,quantile,15,100,30,0.2,-12.656995679726338
0,0.3,quantile,15,100,30,0.3,-11.405517753075651
0,0.3,quantile,15,100,30,0.4,-10.59446884844732
0,0.3,quantile,15,100,30,0.5,-10.167476482059962
0,0.3,quantile,15,100,30,0.6,-10.211904236346042
0,0.3,quantile,15,100,30,0.7,-10.352651108416781
0,0.3,quantile,15,100,30,0.8,-11.049936208389159
0,0.3,quantile,15,100,30,0.9,-13.373991668448124
0,0.3,quantile,15,100,40,0.1,-14.033205322688309
0,0.3,quantile,15,100,40,0.2,-12.537702773994901
0,0.3,quantile,15,100,40,0.3,-11.448893056216649
0,0.3,quantile,15,100,40,0.4,-10.592391258423318
0,0.3,quantile,15,100,40,0.5,-10.198521336517311
0,0.3,quantile,15,100,40,0.6,-10.236076028784444
0,0.3,quantile,15,100,40,0.7,-10.247977272309253
0,0.3,quantile,15,100,40,0.8,-11.185429285731304
0,0.3,quantile,15,100,40,0.9,-13.379675825237118
0,0.3,quantile,15,100,50,0.1,-13.864262255178597
0,0.3,quantile,15,100,50,0.2,-12.504300581539606
0,0.3,quantile,15,100,50,0.3,-11.309535227528647
0,0.3,quantile,15,100,50,0.4,-10.562021663246904
0,0.3,quantile,15,100,50,0.5,-10.27036274569234
0,0.3,quantile,15,100,50,0.6,-10.074943162888102
0,0.3,quantile,15,100,50,0.7,-10.429538192301045
0,0.3,quantile,15,100,50,0.8,-11.08698664599012
0,0.3,quantile,15,100,50,0.9,-13.677013538270069
0,0.3,quantile,15,100,10,0.1,-14.45029943474805
0,0.3,quantile,15,100,10,0.2,-12.795696447932588
0,0.3,quantile,15,100,10,0.3,-11.657267512483708
0,0.3,quantile,15,100,10,0.4,-10.575610166758365
0,0.3,quantile,15,100,10,0.5,-10.200424351788657
0,0.3,quantile,15,100,10,0.6,-10.349796891362505
0,0.3,quantile,15,100,10,0.7,-10.482995363227563
0,0.3,quantile,15,100,10,0.8,-11.120332593677608
0,0.3,quantile,15,100,10,0.9,-12.845320055685116
0,0.3,quantile,15,100,20,0.1,-14.255853677559042
0,0.3,quantile,15,100,20,0.2,-12.711133520834057
0,0.3,quantile,15,100,20,0.3,-11.456575866110068
0,0.3,quantile,15,100,20,0.4,-10.546610275382713
0,0.3,quantile,15,100,20,0.5,-10.252448168738859
0,0.3,quantile,15,100,20,0.6,-10.318248769045987
0,0.3,quantile,15,100,20,0.7,-10.381172270126369
0,0.3,quantile,15,100,20,0.8,-11.057984056556403
0,0.3,quantile,15,100,20,0.9,-13.075176708128264
0,0.3,quantile,15,100,30,0.1,-14.040071004422497
0,0.3,quantile,15,100,30,0.2,-12.605428169305672
0,0.3,quantile,15,100,30,0.3,-11.42050451733216
0,0.3,quantile,15,100,30,0.4,-10.653431938177409
0,0.3,quantile,15,100,30,0.5,-10.201465532079762
0,0.3,quantile,15,100,30,0.6,-10.300608372363511
0,0.3,quantile,15,100,30,0.7,-10.40584760147065
0,0.3,quantile,15,100,30,0.8,-11.04359080410614
0,0.3,quantile,15,100,30,0.9,-13.33519214013395
0,0.3,quantile,15,100,40,0.1,-13.834399382594409
0,0.3,quantile,15,100,40,0.2,-12.454584089842708
0,0.3,quantile,15,100,40,0.3,-11.373618396714628
0,0.3,quantile,15,100,40,0.4,-10.599783066538379
0,0.3,quantile,15,100,40,0.5,-10.380428586705273
0,0.3,quantile,15,100,40,0.6,-10.234762633313263
0,0.3,quantile,15,100,40,0.7,-10.420419513446216
0,0.3,quantile,15,100,40,0.8,-10.936309727545913
0,0.3,quantile,15,100,40,0.9,-13.307472439320321
0,0.3,quantile,15,100,50,0.1,-13.68872820082569
0,0.3,quantile,15,100,50,0.2,-12.39548636133131
0,0.3,quantile,15,100,50,0.3,-11.379866097108062
0,0.3,quantile,15,100,50,0.4,-10.664479285863578
0,0.3,quantile,15,100,50,0.5,-10.263777654933257
0,0.3,quantile,15,100,50,0.6,-10.130086542040909
