Id,entropyWav,freq,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,mel11,mel12,mel13,mel14,mel15,mel16,mel17,mel18,mel19,mel20,mel21,mel22,mel23,mel24
232.wav,6.438604831695557,122.4999999997098,-5.113896369934082,-5.246810436248779,-5.637359619140625,-6.662174224853516,-7.4677300453186035,-5.960030555725098,-5.72947359085083,-5.842715263366699,-6.2370100021362305,-7.16377067565918,-9.35382080078125,-7.913315773010254,-7.73775577545166,-8.612231254577637,-9.129388809204102,-8.844219207763672,-8.047746658325195,-8.230996131896973,-7.721944808959961,-8.153617858886719,-8.573149681091309,-8.3843994140625,-8.2349271774292,-7.6210222244262695
1601.wav,6.099412441253662,150.49999999964098,-9.357460975646973,-8.637428283691406,-9.326470375061035,-8.961217880249023,-9.372772216796875,-10.201725006103516,-11.076038360595703,-9.18049144744873,-9.350584030151367,-9.50345516204834,-8.595741271972656,-8.557191848754883,-8.13698673248291,-8.144988059997559,-7.9156341552734375,-8.004140853881836,-8.154839515686035,-8.384607315063477,-8.757577896118164,-8.897406578063965,-9.409820556640625,-10.60175609588623,-11.063130378723145,-9.858734130859375
2737.wav,6.43607234954834,116.50000000017783,-3.880018711090088,-3.7617902755737305,-3.6920907497406006,-3.703909158706665,-3.748295307159424,-3.818321704864502,-3.960421085357666,-4.059739112854004,-4.223344326019287,-4.321139812469482,-4.435856819152832,-4.552145481109619,-4.657954692840576,-4.844686031341553,-4.965754508972168,-5.103965759277344,-5.214953422546387,-5.3009114265441895,-5.487179756164551,-5.617328643798828,-5.739858627319336,-5.842529296875,-5.856794357299805,-5.906553268432617
699.wav,6.354376316070557,121.50000000008549,-5.264252185821533,-4.665517330169678,-4.673910140991211,-4.621896266937256,-4.652642726898193,-4.577982425689697,-4.5798187255859375,-4.528675556182861,-4.494217872619629,-4.483352184295654,-4.559751510620117,-4.649744987487793,-4.809555530548096,-5.052850246429443,-5.19548225402832,-5.524257659912109,-5.988959312438965,-6.238334655761719,-7.378367900848389,-8.709711074829102,-7.497987270355225,-6.843415260314941,-6.392087459564209,-6.267387390136719
2801.wav,5.766816139221191,150.49999999964098,-4.521040916442871,-4.327164649963379,-4.229162216186523,-4.197604656219482,-4.218613147735596,-4.2496232986450195,-4.272826194763184,-4.288502216339111,-4.290993690490723,-4.277687072753906,-4.269889831542969,-4.24903678894043,-4.253568172454834,-4.280543327331543,-4.338645935058594,-4.416568756103516,-4.540009498596191,-4.651636600494385,-4.910420894622803,-5.109363079071045,-5.362969398498535,-5.857083797454834,-6.520277976989746,-7.843118667602539
998.wav,5.287379741668701,150.49999999964098,-7.155961513519287,-6.913950443267822,-6.588977813720703,-7.0451459884643555,-6.8905158042907715,-6.670905113220215,-6.49070405960083,-6.749415874481201,-6.4513654708862305,-6.7130608558654785,-6.785297870635986,-6.749680519104004,-7.020747661590576,-7.08047342300415,-6.984733581542969,-7.110905647277832,-7.103187561035156,-7.148787975311279,-7.159523010253906,-7.041656017303467,-6.922643661499023,-7.008368968963623,-6.977497100830078,-6.9577484130859375
856.wav,6.417830944061279,101.49999999997308,-5.1098313331604,-4.9319562911987305,-4.82098388671875,-4.8009867668151855,-4.978908538818359,-5.386807918548584,-5.880020618438721,-6.470658779144287,-6.190358638763428,-6.110342979431152,-5.751199722290039,-5.7011027336120605,-6.115328788757324,-7.670141220092773,-6.1696977615356445,-5.294912815093994,-4.8874077796936035,-4.667304992675781,-4.582592010498047,-4.528621673583984,-4.539522171020508,-4.607373237609863,-4.707392692565918,-4.876397132873535
2055.wav,6.232047080993652,115.50000000006119,-3.253750801086426,-3.500908374786377,-3.81508207321167,-4.2205657958984375,-4.639110565185547,-4.947328567504883,-5.010282516479492,-4.987645626068115,-4.671029567718506,-4.4381184577941895,-4.305695056915283,-4.180549144744873,-4.103795528411865,-4.052296161651611,-4.058504104614258,-4.088243007659912,-4.128117561340332,-4.141654014587402,-4.232789993286133,-4.251011848449707,-4.285943508148193,-4.323169708251953,-4.341148853302002,-4.433312892913818
819.wav,5.105513572692871,150.49999999964098,-4.221616744995117,-4.624150276184082,-6.193222999572754,-4.902111053466797,-4.321617126464844,-4.005611896514893,-3.9623353481292725,-3.9998855590820312,-4.274389266967773,-4.782869338989258,-5.76274299621582,-6.89876651763916,-5.53735876083374,-5.01544189453125,-4.862483978271484,-4.751330852508545,-4.898674011230469,-5.015498161315918,-5.4051432609558105,-5.790926456451416,-6.762161731719971,-8.060272216796875,-6.758233070373535,-6.179833889007568
1854.wav,6.410264492034912,94.8000000006698,-8.855888366699219,-9.066424369812012,-9.36412525177002,-10.407309532165527,-10.098751068115234,-9.93568229675293,-10.018796920776367,-10.668682098388672,-9.889838218688965,-10.305524826049805,-9.923747062683105,-10.260354042053223,-11.06551742553711,-10.216808319091797,-10.420101165771484,-11.264318466186523,-10.27995491027832,-10.274213790893555,-9.621192932128906,-9.805367469787598,-9.75105094909668,-9.745582580566406,-10.203715324401855,-9.947736740112305
