Id,entropyWav,freq,mel1,mel2,mel3,mel4,mel5,mel6,mel7,mel8,mel9,mel10,mel11,mel12,mel13,mel14,mel15,mel16,mel17,mel18,mel19,mel20,mel21,mel22,mel23,mel24
585.wav,6.159749507904053,142.5000000003424,-3.7780003547668457,-4.019585609436035,-4.309418201446533,-4.677925109863281,-5.364536762237549,-6.43630838394165,-6.365958213806152,-6.146548271179199,-6.27387809753418,-6.886287212371826,-7.339236736297607,-7.048490524291992,-5.203109264373779,-4.959244728088379,-4.800272464752197,-4.759009838104248,-4.686450004577637,-4.638387680053711,-4.614790916442871,-4.645748138427734,-4.689124584197998,-4.71251106262207,-4.812334060668945,-4.705697536468506
301.wav,6.180046081542969,90.49999999970557,-5.426828861236572,-5.436550617218018,-5.908277988433838,-7.423296928405762,-8.563406944274902,-7.385308265686035,-6.598049163818359,-6.273197174072266,-6.119461536407471,-6.262099266052246,-7.072081565856934,-7.671969413757324,-9.24587631225586,-7.929420471191406,-7.353403091430664,-7.163772106170654,-7.304988861083984,-7.373451232910156,-7.654953956604004,-7.941676616668701,-8.440978050231934,-9.975640296936035,-10.591548919677734,-9.985905647277832
232.wav,6.217777729034424,150.49999999964098,-7.5736470222473145,-7.731986999511719,-7.758288860321045,-7.654803276062012,-7.822918891906738,-7.687117576599121,-8.647727012634277,-7.971502304077148,-8.770561218261719,-8.496789932250977,-8.695066452026367,-7.6990861892700195,-7.737945556640625,-7.414412498474121,-6.963698387145996,-8.310799598693848,-7.622714996337891,-7.302080154418945,-7.1091437339782715,-7.039121627807617,-6.855299949645996,-6.79840087890625,-6.7292985916137695,-6.552617073059082
60.wav,6.290447235107422,90.29999999968837,-11.799516677856445,-12.153462409973145,-11.743696212768555,-11.658642768859863,-11.87059497833252,-11.68120002746582,-12.980443000793457,-11.023908615112305,-12.014060974121094,-12.382057189941406,-11.980095863342285,-11.831550598144531,-11.371614456176758,-11.923799514770508,-11.697738647460938,-11.040660858154297,-11.474817276000977,-12.445302963256836,-11.628646850585938,-12.58642864227295,-12.693098068237305,-12.065117835998535,-11.65501880645752,-11.371484756469727
371.wav,6.039198875427246,150.49999999964098,-7.828165531158447,-7.907181739807129,-7.816730499267578,-8.683603286743164,-8.88054084777832,-7.7742600440979,-7.616933822631836,-7.928345680236816,-7.051276206970215,-7.4055280685424805,-7.256553649902344,-7.33577823638916,-8.42237377166748,-8.971234321594238,-9.039664268493652,-8.466423034667969,-7.902909755706787,-7.527883529663086,-7.0520806312561035,-6.869272708892822,-6.6960530281066895,-6.583282947540283,-6.543734550476074,-6.419021129608154
191.wav,6.536120891571045,124.5000000005205,-8.62123966217041,-8.48055648803711,-9.62804889678955,-12.676742553710938,-11.081737518310547,-11.392571449279785,-12.044711112976074,-11.894808769226074,-11.367683410644531,-12.055540084838867,-12.07200813293457,-12.381674766540527,-11.087787628173828,-11.565717697143555,-10.962776184082031,-11.37612247467041,-11.630899429321289,-11.611478805541992,-11.27427864074707,-12.427665710449219,-11.03109359741211,-12.269969940185547,-12.167742729187012,-11.000271797180176
256.wav,5.425206661224365,150.49999999964098,-6.093171119689941,-7.87923002243042,-6.677949905395508,-5.515162944793701,-5.19950008392334,-5.193540096282959,-4.949368000030518,-4.846674919128418,-4.67185640335083,-4.658178329467773,-4.647839069366455,-4.59114933013916,-4.56460428237915,-4.6255340576171875,-4.560803413391113,-4.591095924377441,-4.633057594299316,-4.666643142700195,-4.735116004943848,-4.777039527893066,-4.821820259094238,-4.870824813842773,-4.952159881591797,-5.060188293457031
520.wav,6.370512962341309,114.50000000018399,-9.575272560119629,-10.308530807495117,-12.568375587463379,-12.340084075927734,-11.0568265914917,-10.218425750732422,-10.804323196411133,-11.70364761352539,-11.7195463180542,-13.338783264160156,-13.015169143676758,-13.424040794372559,-11.457406997680664,-11.69813060760498,-12.548785209655762,-13.109161376953125,-12.581753730773926,-11.986766815185547,-12.650677680969238,-14.954147338867188,-13.085626602172852,-13.517448425292969,-13.207237243652344,-12.55947494506836
215.wav,5.612586498260498,140.50000000050855,-7.198444366455078,-7.241060256958008,-7.418431282043457,-8.225186347961426,-9.4266939163208,-8.76020336151123,-8.03551197052002,-7.917375564575195,-7.949233531951904,-8.207674980163574,-8.63398551940918,-9.214799880981445,-10.969456672668457,-10.225025177001953,-9.785612106323242,-9.637508392333984,-9.568719863891602,-9.978032112121582,-9.946751594543457,-10.557964324951172,-11.323692321777344,-12.81132984161377,-11.765124320983887,-12.034685134887695
27.wav,6.3130412101745605,150.49999999964098,-12.343335151672363,-12.134608268737793,-13.916973114013672,-13.74434757232666,-14.577715873718262,-14.1858549118042,-13.779656410217285,-14.63067626953125,-13.78997802734375,-14.236756324768066,-14.833754539489746,-16.196683883666992,-14.373005867004395,-14.966468811035156,-15.282367706298828,-14.832820892333984,-15.67318344116211,-16.868181228637695,-15.489882469177246,-15.649978637695312,-16.278411865234375,-17.242958068847656,-18.524187088012695,-15.844986915588379
