,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,rmsSum,zcrMean,zcrStd,spectralCentroidMean,spectralCentroidStd,spectralBandwidthMean,spectralBandwidthStd,spectralContrastMean,spectralContrastStd,spectralFlatnessMean,spectralFlatnessStd,spectralRolloffMean,spectralRolloffStd,spectralEnergy250-650,spectralEnergy1000-8000,spectralRolloff25,spectralRolloff50,spectralRolloff75,spectralRolloff90,onsetStrength,mean,std,var,skew,kurtosis,age
1.wav,-369.4457702636719,55.71980285644531,-20.172199249267578,1.8584308624267578,-11.094159126281738,-21.289920806884766,-6.304841041564941,-15.06548023223877,-22.39406967163086,-9.54580020904541,-18.21935272216797,1.7195260524749756,-12.181655883789062,-4.647329330444336,48.1451530456543,0.21009334180720898,0.17417486370702487,3112.257248625309,1771.2634578767672,2297.0067138600148,666.9043614696666,20.51036818701043,6.8349964748743695,0.06392645090818405,0.08487513661384583,5447.4232991536455,2586.0325054796895,1048516.6875,1167275.875,1409.0932210286458,2650.470987955729,4296.1802164713545,6256.705729166667,1.767694115638733,1.6813647789604147e-06,0.04747425392270088,0.0022538048215210438,-0.7783008217811584,18.173320770263672,24.0
2.wav,-291.22967529296875,122.4312744140625,-5.133553981781006,40.160587310791016,8.176782608032227,-6.416771411895752,-2.469233989715576,-4.796830177307129,3.6190598011016846,-9.030072212219238,-7.309513092041016,0.6123620271682739,-13.489105224609375,0.28759056329727173,69.51937866210938,0.07884940531716418,0.07439736851779301,1688.0163867764295,1006.4754079316681,1902.1852937837775,651.4171839169061,16.13355534013015,6.187645272116907,0.017712170258164406,0.04026451334357262,3358.440487989739,2004.5839055946587,1943684.0,469571.28125,439.3737610774254,1017.856299556903,2282.8087832322763,4190.682719216418,1.695813536643982,2.777821646304801e-05,0.08842307329177856,0.007818639278411865,0.22468237578868866,4.998906135559082,22.5
3.wav,-304.47052001953125,72.08065795898438,19.171960830688477,23.241703033447266,13.34172534942627,6.1664347648620605,4.148385524749756,1.0365667343139648,-8.732519149780273,9.563401222229004,0.7179353833198547,0.26522865891456604,3.0946052074432373,7.770945072174072,41.18537902832031,0.10536523855728051,0.12070787424148288,2576.901700544715,1517.4965134296835,2547.9916692240377,446.7637927501251,18.427162517700765,3.9673081650183577,0.02293654903769493,0.03946126624941826,4985.881771112152,2298.5632089077963,900502.4375,211438.25,879.8757287623796,1716.6619964534261,3538.3502314892266,6254.173602281852,1.9498069286346436,4.983804046787554e-06,0.054536979645490646,0.002974282018840313,0.7977563738822937,8.807209014892578,22.0
4.wav,-254.5854034423828,38.09353256225586,27.63531494140625,29.920997619628906,-9.363325119018555,-17.644960403442383,-31.449722290039062,-8.642946243286133,-19.032154083251953,-7.290900707244873,0.7422845363616943,-10.182929039001465,-10.793060302734375,1.7269610166549683,117.59819030761719,0.17370114164086686,0.16709124155329655,3269.751414545682,2062.243190700381,2411.285176099904,631.025671832121,20.805879762966324,6.834660345003288,0.019586743786931038,0.030440233647823334,5691.387807178792,2821.5841450066823,7194743.0,1647911.375,1554.0683805388933,2756.594442361649,4558.816877902476,6548.204848345588,2.2568767070770264,1.0553518222877756e-05,0.1495678722858429,0.02237054705619812,0.4727865755558014,3.2054238319396973,22.0
5.wav,-273.52386474609375,112.78522491455078,-2.480323553085327,33.589447021484375,28.171323776245117,-3.9438297748565674,-0.3136707842350006,13.828847885131836,-18.041934967041016,-1.688610553741455,0.34804266691207886,-6.424522399902344,2.561241626739502,0.41112369298934937,49.29104232788086,0.10727948435601459,0.10595029292366026,1930.8973749093275,1318.7036503792908,1960.8177777044514,641.8173772673816,17.266429395610643,5.131498734945266,0.02553005889058113,0.0487435907125473,3555.254808057412,2358.80299255849,1291529.125,423419.75,649.0573146073815,1351.1496264618772,2621.987992908946,4378.4354116038885,2.1188032627105713,3.561253470252268e-05,0.07327089458703995,0.005368624348193407,-0.4622567594051361,5.035201072692871,22.0
6.wav,-269.15093994140625,99.87158966064453,12.35224437713623,14.15606689453125,-3.168327569961548,-9.993343353271484,-16.430871963500977,1.0998835563659668,-11.660812377929688,-8.169754028320312,2.5431478023529053,-2.10996675491333,-10.113306999206543,6.403830528259277,96.43746948242188,0.15203618796155516,0.16498547633781338,2350.7475791682464,1894.353427419898,2020.8461515618126,621.2178815571268,19.60751141956685,5.631156674158153,0.02077299728989601,0.03476541116833687,4050.234616807396,2767.2208667625086,6270155.0,813986.0625,1090.223642145417,1814.738288037576,3079.7251074133906,4858.91770827677,1.7120243310928345,-4.226002147333929e-06,0.11832542717456818,0.014000906608998775,-0.612929105758667,7.299339294433594,33.0
7.wav,-291.3009948730469,77.62328338623047,-10.308899879455566,20.87810516357422,-0.5465666055679321,-5.579415798187256,-4.348272800445557,-6.450246810913086,-10.521520614624023,1.8190287351608276,-4.59568977355957,-1.00850248336792,-5.991368770599365,0.9133121967315674,32.893489837646484,0.17771274755110733,0.11042164146527439,2771.793233577165,1280.9509165912234,2373.7573962965675,483.97320301648574,18.764613001173007,5.519355448627888,0.07360929995775223,0.08026077598333359,5186.649812506655,2241.0170194702223,636621.75,249518.65625,1071.9371581199425,2036.611818901725,3910.193079049989,6167.9879443608925,1.887391448020935,1.6609224076091778e-06,0.03744526207447052,0.0014021475799381733,1.6227471828460693,24.055944442749023,18.0
8.wav,-301.0423583984375,67.26616668701172,6.5244011878967285,30.03551483154297,17.90662384033203,4.428722858428955,-0.06953062117099762,-4.360925674438477,12.010677337646484,11.318469047546387,-4.905118465423584,11.609562873840332,-5.693385124206543,5.386338710784912,1.5512326955795288,0.11185778601694915,0.08200786158684685,2701.80280490111,1191.0694408972104,2764.14721371924,508.8223137529408,18.5962169396856,5.812215868683293,0.02243184484541416,0.03452037647366524,5671.261751853814,2128.2945434476865,14747.658203125,3815.783935546875,529.7532938294491,1881.9654561705509,4015.3949284957625,6859.055134401483,1.3138082027435303,-0.003426874289289117,0.029934685677289963,0.0008960854611359537,0.07424522936344147,2.307797431945801,18.0
9.wav,-417.8543395996094,115.27423095703125,-0.34603261947631836,17.084270477294922,-7.758007049560547,-7.401515007019043,3.9964993000030518,-12.867925643920898,-3.811022996902466,-2.1710574626922607,2.7983107566833496,-7.881140232086182,-2.4636943340301514,0.4620196223258972,1.341840386390686,0.03909656613372093,0.015249448121570005,1448.0934842313725,321.6276849361868,2090.803425010694,358.2031812549259,24.48502113492563,4.56453740423606,0.001778334379196167,0.0014758567558601499,2880.8170762172963,1157.9322055705593,10693.0625,2192.96826171875,298.33501771438955,577.0147279251454,1597.4632085755813,4059.5095612281975,1.6176146268844604,-0.0024460332933813334,0.017826709896326065,0.00031779156415723264,0.3405112326145172,4.416145324707031,18.0
10.wav,-263.4135437011719,122.23237609863281,12.6375093460083,35.7784309387207,12.692002296447754,-1.6589369773864746,10.190319061279297,-0.6102108955383301,-2.14803409576416,4.564741134643555,-1.3974599838256836,0.7736456394195557,6.788093090057373,-6.0544843673706055,4.466895580291748,0.0730743408203125,0.09551193519969652,1722.6242388491473,1228.1022370516064,2093.4967681996804,598.8476708574754,17.190441752589518,5.74827661099386,0.010659998282790184,0.025175785645842552,3416.5454864501953,2379.489778728184,138990.71875,23975.419921875,456.5711975097656,984.3029022216797,2243.3223724365234,4437.522125244141,1.6716644763946533,-0.0024947847705334425,0.08613334596157074,0.007418953813612461,1.3294826745986938,8.186734199523926,18.0
