,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,rmsSum,zcrMean,zcrStd,spectralCentroidMean,spectralCentroidStd,spectralBandwidthMean,spectralBandwidthStd,spectralContrastMean,spectralContrastStd,spectralFlatnessMean,spectralFlatnessStd,spectralRolloffMean,spectralRolloffStd,spectralEnergy250-650,spectralEnergy1000-8000,spectralRolloff25,spectralRolloff50,spectralRolloff75,spectralRolloff90,onsetStrength,mean,std,var,skew,kurtosis
1.wav,-342.6569519042969,95.86739349365234,9.801273345947266,36.97096252441406,13.408759117126465,9.267678260803223,4.844786167144775,13.28886604309082,-5.100243091583252,14.851272583007812,-1.3084427118301392,4.424745082855225,3.9493277072906494,8.396207809448242,76.54229736328125,0.03296310737711098,0.026529867045256495,1549.607045867755,914.5470226277218,2025.080253079771,561.7041345490059,22.362138212695196,4.1516914597595065,0.0024796866346150637,0.005573481321334839,3167.1211785660435,2044.274985725192,1595383.25,431479.125,214.98786364878617,812.7485434022542,2117.734681280157,4116.0756735807445,1.6636040210723877,-2.5050407202797942e-05,0.05599833279848099,0.0031358131673187017,0.1953820437192917,6.252873420715332
2.wav,-281.55450439453125,79.52881622314453,19.46550750732422,34.76415252685547,10.808782577514648,12.485599517822266,4.0795769691467285,-6.069057464599609,-4.082391262054443,-10.24262523651123,-5.809939384460449,2.7863783836364746,-6.287670135498047,7.789650917053223,90.99862670898438,0.12389460527514577,0.16466686634577316,2344.8173662186864,1862.0320198349705,2212.6588143155786,607.1749966105244,19.992958248087422,5.7445732072951845,0.020797908306121826,0.039536360651254654,4312.918526785715,2788.159340453831,4014744.5,398007.6875,939.7469656808036,1685.1693289620537,3155.328369140625,5267.143903459822,1.8333238363265991,-8.161019650287926e-05,0.08236074447631836,0.006783291697502136,0.37610697746276855,4.460151195526123
3.wav,-261.7705078125,110.51325225830078,-3.2536561489105225,18.02164077758789,4.852755546569824,5.5047688484191895,-7.6457719802856445,1.7300015687942505,0.1411602646112442,-1.394882321357727,-1.9356684684753418,5.570228576660156,-4.782299518585205,2.9568605422973633,5.455649375915527,0.08913949819711539,0.0636302582254052,1939.5748940925355,832.6545380768547,2246.034741729574,535.3031598230157,17.09834895756061,5.692622642539429,0.012717054225504398,0.0208978783339262,4072.467041015625,1813.4317164009399,159221.46875,45963.76171875,375.17465444711536,1151.819317157452,2677.570988581731,5077.0737868088945,1.4651204347610474,-0.0024718695785850286,0.06687465310096741,0.004472219385206699,-0.3646361529827118,6.731545448303223
4.wav,-275.1494445800781,117.3786392211914,4.492655277252197,34.124549865722656,16.238229751586914,1.549032211303711,-1.3676612377166748,-1.996275544166565,-5.34767484664917,-2.349013566970825,-5.2053046226501465,-2.758989095687866,-8.610187530517578,-4.329026699066162,120.89107513427734,0.0970539411374451,0.10329097177451432,1832.059112986078,1230.1200694377053,1980.1216857546162,659.0416310103367,20.139366822345675,7.27798722648016,0.025304049253463745,0.053100086748600006,3539.760659973234,2237.1757845763773,7819517.5,401974.71875,557.0258167093705,1184.034543574991,2425.0311878031202,4441.4595999096355,1.5240561962127686,-4.998618533136323e-05,0.12203579396009445,0.014892734587192535,-1.1015743017196655,5.667972564697266
5.wav,-364.4769287109375,78.63824462890625,2.618664264678955,34.956947326660156,14.889968872070312,3.619826078414917,1.3729110956192017,-8.365119934082031,-5.346498489379883,5.718081474304199,-4.902988433837891,-0.6823499202728271,0.28043168783187866,-8.7836275100708,36.21559143066406,0.14095017745692687,0.1331704057268098,2534.6111641204516,1449.4173732190661,2252.411142079791,519.485521145397,18.25923497755242,5.644978316602069,0.032746683806180954,0.05079440400004387,4719.776781299446,2189.023951536637,726003.9375,369006.78125,913.1471271756329,1881.6642664655853,3543.362774426424,5636.68691900712,1.7639702558517456,2.0389404653542442e-06,0.037002988159656525,0.0013692210195586085,-0.023177463561296463,14.975284576416016
6.wav,-370.9410705566406,106.44727325439453,-8.227824211120605,49.62900924682617,5.689026355743408,1.4872193336486816,8.538595199584961,-17.87066078186035,12.841727256774902,-10.843578338623047,-8.827635765075684,13.311445236206055,-7.228890419006348,3.9585583209991455,2.616184949874878,0.05599107654816514,0.03338766464376919,1740.7018491361023,523.6328864892798,2078.0920102015302,334.4980072918099,19.76784802761125,3.326225539170894,0.003059448441490531,0.004224971402436495,3757.0500645068805,1120.050753371739,48966.26171875,25452.55859375,307.49018957855503,972.9451870699542,2473.8489553469035,4538.36949899656,1.4703689813613892,-0.002531650010496378,0.03114735521376133,0.0009701577364467084,0.23883481323719025,7.062450408935547
7.wav,-294.93463134765625,79.94696807861328,-6.323637008666992,17.874990463256836,1.1303577423095703,4.870765209197998,-7.266988754272461,-8.912579536437988,-16.069433212280273,-8.76554012298584,-7.280715465545654,-4.749491214752197,-7.233192443847656,0.6586545705795288,58.460899353027344,0.15075318884556238,0.12760781407622035,2503.9810897238867,1423.6623939964563,2254.292816143465,633.002884266517,14.988145138103217,6.046725303862394,0.05311499908566475,0.0787840336561203,4647.576700488796,2526.343718667639,3087416.75,310050.28125,885.2549574706173,1907.949652110336,3540.0169654135543,5519.70927099352,1.69019615650177,1.2835583618198143e-07,0.07123634964227676,0.005074616987258196,-0.4241258502006531,6.883296966552734
8.wav,-249.24232482910156,85.86251068115234,5.133908271789551,33.97512435913086,8.739272117614746,-2.6212193965911865,1.3020405769348145,5.913303852081299,-2.8827366828918457,2.8912410736083984,7.5790300369262695,-6.6453776359558105,1.5643142461776733,1.9249088764190674,6.598889350891113,0.0721558988764045,0.039839570022846,2112.0559945830278,762.2391709893471,2391.7064535849227,573.505502932208,16.037168951978728,5.680776488793355,0.015413464978337288,0.030069125816226006,4397.9752787043535,1950.1757062154172,221896.171875,82895.8671875,446.6325052668539,1230.053985252809,3030.49590721559,5515.403353230337,1.6329419612884521,-0.0025185204576700926,0.09093085676431656,0.008268420584499836,0.6449008584022522,5.626891136169434
9.wav,-310.21343994140625,83.1827392578125,-11.218901634216309,3.416295051574707,-3.237426280975342,-3.3491404056549072,-13.338337898254395,-6.9394917488098145,-15.430307388305664,-9.586181640625,-16.463197708129883,-12.232175827026367,-9.739728927612305,-11.556657791137695,87.22944641113281,0.15822769657258065,0.14005627775215568,2497.0381884899807,1536.779507415218,2110.8749027134663,647.5127643334971,20.485056213413415,5.608406475728918,0.04394451156258583,0.06176670268177986,4562.878795992943,2505.02244586478,4166452.5,1900208.875,1020.7849672379032,1909.2796591481854,3430.1975806451615,5362.705314390121,1.7811373472213745,2.7351318294677185e-06,0.0858614593744278,0.007372189778834581,-0.23189859092235565,15.802556991577148
10.wav,-333.2657470703125,96.23265075683594,39.65675354003906,16.898893356323242,-6.676544189453125,-7.733169078826904,-0.7539595365524292,18.79897117614746,-6.617861747741699,-8.25142765045166,16.103912353515625,-3.0444164276123047,-8.603134155273438,10.967386245727539,2.6773290634155273,0.06422741008254718,0.02478856471057404,2225.098882683387,875.0089326861785,2709.9244532975636,437.65809079405653,16.863080499814266,4.917993290763911,0.0135439308360219,0.015932394191622734,5146.232403449292,2092.4252990591576,50643.78125,1823.30859375,363.11887345224056,1087.9346163767689,3089.608361586085,6548.53147110849,1.2080237865447998,-0.002542199334129691,0.030517717823386192,0.0009313310729339719,0.29317569732666016,4.398336410522461
