Id,Predicted
0,34.2
1,31.9
2,26.0
3,28.7
4,35.9
5,22.0
6,24.8
7,24.7
8,41.5
9,23.7
10,38.0
11,19.5
12,24.8
13,25.1
14,45.7
15,33.8
16,32.8
17,28.3
18,33.5
19,26.4
20,39.1
21,24.4
22,48.0
23,27.8
24,21.1
25,37.2
26,23.8
27,25.1
28,40.8
29,24.5
30,32.6
31,42.0
32,23.7
33,19.0
34,27.3
35,22.6
36,19.6
37,33.6
38,19.8
39,21.1
40,25.1
41,23.9
42,35.0
43,42.6
44,53.0
45,44.5
46,27.3
47,40.5
48,23.8
49,34.3
50,33.4
51,22.7
52,26.7
53,24.4
54,24.4
55,20.9
56,34.2
57,30.7
58,25.4
59,27.6
60,22.4
61,22.9
62,28.4
63,23.8
64,27.8
65,30.3
66,20.3
67,26.8
68,21.1
69,34.1
70,30.2
71,18.4
72,28.6
73,26.5
74,27.6
75,51.6
76,44.1
77,37.8
78,23.0
79,26.3
80,28.1
81,35.4
82,30.4
83,34.6
84,21.5
85,49.0
86,25.2
87,20.3
88,26.6
89,22.4
90,29.5
91,17.6
92,18.7
93,39.0
94,22.9
95,29.5
96,20.8
97,26.9
98,32.4
99,40.9
100,30.8
101,38.4
102,27.0
103,45.2
104,21.9
105,21.5
106,20.3
107,21.3
108,29.8
109,18.4
110,27.1
111,27.7
112,22.5
113,30.0
114,19.9
115,32.9
116,21.5
117,22.5
118,31.6
119,23.4
120,23.4
121,36.6
122,20.8
123,48.0
124,28.9
125,23.1
126,29.2
127,31.2
128,30.0
129,20.2
130,25.7
131,48.0
132,26.9
133,47.0
134,34.3
135,21.1
136,19.6
137,41.9
138,26.0
139,24.3
140,23.0
141,24.8
142,22.6
143,26.6
144,35.5
145,39.8
146,41.9
147,33.0
148,24.2
149,33.2
150,41.0
151,28.8
152,49.2
153,19.1
154,37.5
155,28.7
156,22.9
157,22.6
158,26.9
159,32.6
160,39.0
161,27.9
162,28.3
163,31.0
164,44.8
165,29.5
166,43.9
167,34.9
168,41.7
169,23.2
170,23.1
171,25.6
172,21.8
173,29.8
174,20.1
175,30.0
176,27.7
177,30.0
178,47.5
179,23.9
180,57.2
181,21.0
182,20.1
183,37.3
184,21.0
185,21.3
186,19.0
187,19.9
188,18.7
189,31.4
190,28.2
191,38.0
192,46.2
193,22.8
194,29.1
195,20.9
196,25.5
197,21.5
198,20.0
199,21.9
200,20.1
201,20.5
202,38.6
203,18.1
204,21.6
205,26.6
206,33.7
207,23.9
208,36.8
209,40.4
210,28.2
211,38.1
212,29.4
213,21.9
214,39.1
215,32.8
216,20.9
217,22.8
218,40.1
219,48.6
220,19.3
221,20.6
222,24.9
223,33.4
224,20.4
225,33.9
226,28.4
227,24.4
228,38.1
229,20.5
230,41.2
231,35.5
232,21.6
233,25.9
234,40.7
235,24.9
236,25.3
237,48.8
238,27.2
239,54.5
240,32.5
241,31.9
242,20.2
243,24.8
244,44.8
245,21.7
246,27.0
247,21.6
248,19.4
249,26.6
250,28.8
251,29.0
252,21.8
253,26.4
254,23.4
255,51.2
256,23.3
257,24.8
258,51.1
259,27.3
260,18.7
261,24.1
262,26.4
263,22.5
264,25.1
265,20.2
266,22.6
267,21.2
268,24.9
269,20.1
270,21.2
271,35.5
272,25.0
273,23.4
274,46.6
275,26.3
276,27.0
277,26.7
278,32.9
279,20.7
280,25.3
281,27.6
282,27.0
283,28.8
284,33.2
285,20.3
286,34.3
287,37.8
288,31.5
289,36.5
290,25.3
291,41.1
292,22.4
293,24.7
294,18.8
295,34.7
296,26.0
297,20.4
298,26.9
299,39.3
300,21.2
301,19.8
302,21.0
303,30.0
304,41.7
305,24.6
306,39.6
307,32.9
308,21.8
309,25.6
310,49.1
311,44.9
312,23.8
313,44.9
314,35.4
315,39.6
316,36.1
317,24.8
318,22.3
319,24.7
320,28.7
321,31.7
322,20.2
323,19.8
324,31.1
325,27.4
326,25.6
327,19.2
328,35.8
329,28.1
330,27.8
331,21.4
332,28.0
333,33.9
334,19.5
335,28.2
336,33.6
337,36.6
338,22.5
339,23.0
340,54.4
341,31.3
342,24.4
343,46.7
344,22.1
345,51.1
346,23.7
347,28.2
348,20.9
349,42.3
350,21.1
351,29.1
352,33.8
353,24.4
354,50.1
355,29.5
356,20.0
357,35.8
358,46.5
359,34.0
360,22.3
361,25.8
362,37.2
363,35.7
364,34.4
365,33.0
366,39.9
367,46.2
368,23.4
369,23.6
370,29.4
