Id,Predicted
0,34.0
1,31.5
2,25.0
3,28.0
4,36.0
5,22.0
6,24.5
7,22.5
8,40.0
9,21.5
10,36.5
11,19.5
12,24.5
13,25.0
14,45.5
15,33.5
16,33.0
17,28.5
18,33.5
19,26.5
20,39.0
21,24.0
22,48.5
23,28.0
24,21.0
25,37.0
26,21.5
27,25.0
28,39.5
29,24.5
30,27.5
31,42.0
32,23.5
33,19.0
34,26.5
35,21.5
36,18.5
37,32.0
38,18.0
39,21.0
40,24.5
41,24.0
42,35.0
43,43.0
44,51.5
45,44.0
46,26.0
47,41.0
48,22.5
49,34.5
50,32.0
51,22.5
52,26.5
53,24.0
54,24.5
55,21.0
56,33.5
57,29.5
58,24.0
59,27.5
60,21.5
61,21.0
62,28.5
63,23.5
64,27.0
65,26.5
66,18.0
67,26.5
68,21.5
69,32.5
70,30.0
71,18.5
72,27.5
73,26.0
74,27.5
75,51.5
76,44.0
77,37.5
78,22.0
79,25.5
80,23.5
81,36.0
82,30.0
83,34.0
84,20.0
85,49.0
86,22.5
87,20.5
88,26.0
89,21.5
90,29.5
91,16.0
92,18.5
93,39.0
94,22.0
95,27.5
96,19.5
97,27.0
98,32.5
99,41.0
100,31.0
101,38.0
102,25.5
103,45.0
104,21.5
105,21.0
106,19.5
107,21.0
108,30.0
109,17.5
110,27.0
111,25.5
112,22.5
113,29.5
114,20.0
115,33.0
116,21.0
117,20.5
118,31.0
119,22.5
120,23.5
121,36.5
122,19.0
123,48.0
124,29.0
125,20.5
126,27.5
127,31.0
128,25.0
129,20.0
130,25.5
131,48.5
132,24.5
133,47.0
134,34.5
135,20.0
136,19.0
137,42.0
138,26.0
139,23.0
140,23.0
141,24.5
142,21.5
143,26.5
144,35.5
145,40.0
146,41.0
147,29.5
148,24.0
149,32.0
150,39.0
151,29.0
152,49.5
153,18.0
154,36.5
155,28.0
156,22.0
157,20.5
158,25.5
159,32.0
160,39.0
161,27.0
162,28.0
163,31.5
164,45.0
165,29.0
166,44.0
167,35.0
168,41.5
169,21.5
170,23.5
171,25.0
172,21.0
173,30.5
174,20.0
175,28.0
176,26.5
177,30.0
178,47.0
179,24.0
180,57.0
181,21.0
182,20.0
183,37.5
184,21.0
185,20.5
186,18.5
187,19.5
188,18.0
189,31.5
190,28.5
191,37.5
192,44.5
193,23.0
194,29.0
195,19.5
196,25.5
197,21.5
198,19.0
199,21.5
200,20.0
201,20.5
202,38.0
203,17.5
204,21.5
205,26.0
206,32.5
207,22.5
208,37.0
209,40.5
210,28.0
211,37.0
212,29.0
213,20.5
214,39.5
215,32.5
216,20.5
217,23.0
218,40.0
219,48.5
220,18.5
221,20.5
222,25.0
223,33.0
224,19.5
225,34.0
226,28.5
227,23.5
228,37.5
229,18.0
230,41.0
231,35.5
232,21.0
233,26.0
234,40.5
235,23.5
236,24.0
237,49.0
238,23.5
239,54.5
240,31.5
241,32.0
242,20.0
243,23.0
244,45.0
245,21.0
246,27.0
247,21.5
248,18.5
249,26.0
250,29.0
251,28.0
252,21.5
253,23.0
254,24.0
255,51.0
256,23.0
257,24.0
258,51.0
259,27.5
260,18.5
261,22.0
262,26.5
263,21.5
264,25.0
265,19.5
266,22.5
267,19.5
268,24.5
269,20.0
270,18.5
271,34.5
272,23.0
273,23.5
274,47.0
275,26.0
276,27.5
277,25.5
278,31.5
279,20.0
280,25.0
281,27.0
282,26.5
283,29.0
284,34.0
285,20.5
286,34.5
287,38.0
288,31.5
289,36.5
290,25.0
291,41.0
292,21.0
293,22.5
294,19.0
295,33.5
296,26.0
297,19.5
298,27.0
299,39.5
300,20.5
301,19.0
302,21.0
303,30.0
304,41.0
305,24.5
306,39.5
307,32.0
308,20.0
309,24.0
310,47.0
311,45.0
312,23.5
313,45.0
314,33.0
315,39.5
316,36.0
317,25.0
318,22.5
319,21.5
320,28.0
321,30.5
