Id,Predicted
0,34
1,32
2,25
3,28
4,36
5,22
6,24
7,22
8,40
9,22
10,36
11,20
12,25
13,25
14,46
15,33
16,33
17,28
18,33
19,26
20,39
21,24
22,48
23,28
24,21
25,37
26,22
27,25
28,39
29,25
30,28
31,42
32,24
33,19
34,27
35,21
36,19
37,32
38,18
39,21
40,25
41,24
42,35
43,43
44,52
45,44
46,26
47,41
48,23
49,34
50,32
51,22
52,27
53,24
54,24
55,21
56,33
57,30
58,24
59,28
60,22
61,21
62,28
63,23
64,27
65,27
66,18
67,26
68,21
69,33
70,30
71,18
72,28
73,26
74,28
75,52
76,44
77,37
78,22
79,25
80,23
81,36
82,30
83,34
84,20
85,49
86,22
87,20
88,26
89,21
90,30
91,16
92,19
93,39
94,22
95,28
96,20
97,27
98,32
99,41
100,31
101,38
102,26
103,45
104,22
105,21
106,20
107,21
108,30
109,17
110,27
111,26
112,22
113,30
114,20
115,33
116,21
117,21
118,31
119,22
120,23
121,37
122,19
123,48
124,29
125,20
126,28
127,31
128,25
129,20
130,25
131,48
132,25
133,47
134,34
135,20
136,19
137,42
138,26
139,23
140,23
141,25
142,22
143,26
144,35
145,40
146,41
147,29
148,24
149,32
150,39
151,29
152,50
153,18
154,37
155,28
156,22
157,20
158,26
159,32
160,39
161,27
162,28
163,31
164,45
165,29
166,44
167,35
168,41
169,22
170,24
171,25
172,21
173,30
174,20
175,28
176,27
177,30
178,47
179,24
180,57
181,21
182,20
183,37
184,21
185,21
186,19
187,19
188,18
189,31
190,28
191,37
192,45
193,23
194,29
195,19
196,26
197,21
198,19
199,21
200,20
201,21
202,38
203,18
204,22
205,26
206,33
207,22
208,37
209,40
210,28
211,37
212,29
213,20
214,39
215,33
216,20
217,23
218,40
219,49
220,18
221,20
222,25
223,33
224,19
225,34
226,28
227,24
228,37
229,18
230,41
231,35
232,21
233,26
234,41
235,24
236,24
237,49
238,24
239,54
240,32
241,32
242,20
243,23
244,45
245,21
246,27
247,21
248,19
249,26
250,29
251,28
252,21
253,23
254,24
255,51
256,23
257,24
258,51
259,27
260,19
261,22
262,26
263,22
264,25
265,19
266,23
267,19
268,25
269,20
270,18
271,35
272,23
273,23
274,47
275,26
276,27
277,25
278,32
279,20
280,25
281,27
282,26
283,29
284,34
285,20
286,35
287,38
288,32
289,36
290,25
291,41
292,21
293,23
294,19
295,33
296,26
297,19
298,27
299,39
300,20
301,19
302,21
303,30
304,41
305,24
306,40
307,32
308,20
309,24
310,47
311,45
312,24
313,45
314,33
315,40
316,36
317,25
318,23
319,22
320,28
321,30
322,20
323,19
324,31
325,27
326,25
327,19
328,36
329,26
330,28
331,20
332,28
333,34
334,19
335,27
336,32
337,37
338,22
339,23
340,54
341,31
342,21
343,47
344,21
345,52
346,23
347,28
348,21
349,42
350,21
351,29
352,34
353,24
354,50
355,29
356,20
357,36
358,46
359,33
360,21
361,24
362,38
363,36
364,34
365,33
366,40
367,46
368,23
369,21
370,29
371,34
372,22
373,31
374,21
375,43
376,33
377,22
378,55
379,36
380,44
381,31
382,48
383,30
384,47
385,38
386,21
387,19
388,30
389,30
390,17
391,23
392,27
393,20
394,21
395,23
396,21
397,36
398,38
399,20
400,33
401,34
402,29
403,18
404,31
405,29
406,27
407,23
408,41
409,27
410,28
411,38
412,24
413,24
414,21
415,41
416,29
417,40
418,23
419,26
420,27
421,44
422,31
423,23
424,19
425,52
426,41
427,18
428,49
429,32
430,21
431,28
432,30
433,42
434,19
435,18
436,34
437,26
438,20
439,18
440,18
441,37
442,27
443,18
444,44
445,37
446,34
447,31
448,20
449,40
450,21
451,24
452,19
453,41
454,26
455,31
456,23
457,23
458,19
459,28
460,49
461,27
462,22
463,32
464,23
465,29
466,27
467,30
468,36
469,31
470,41
471,46
472,47
473,22
474,24
475,28
476,22
477,38
478,18
479,38
480,41
481,27
482,26
483,29
484,48
485,30
486,34
487,31
488,19
489,25
490,53
491,45
492,34
493,19
494,29
495,24
496,21
497,21
498,23
499,33
500,25
501,17
502,19
503,28
504,46
505,31
506,44
507,20
508,30
509,20
510,20
511,22
512,33
513,21
514,26
515,30
516,21
517,27
518,37
519,28
520,23
521,28
522,40
523,25
524,24
525,35
526,35
527,32
528,23
529,24
530,40
531,20
532,27
533,31
534,36
535,22
536,27
537,46
538,28
539,27
540,36
541,22
542,40
543,26
544,36
545,21
546,32
547,23
548,37
549,22
550,30
551,34
552,32
553,26
554,21
555,20
556,19
557,33
558,19
559,32
560,23
561,36
562,44
563,36
564,24
565,29
566,21
567,30
568,29
569,24
570,19
571,38
572,50
573,25
574,20
575,21
576,37
577,33
578,20
579,25
580,46
581,42
582,20
583,23
584,20
585,16
586,20
587,31
588,19
589,23
590,34
591,46
592,27
593,48
594,45
595,33
596,20
597,19
598,23
599,19
600,40
601,28
602,21
603,22
604,21
605,22
606,33
607,34
608,20
609,22
610,24
611,32
612,29
613,19
614,33
615,26
616,47
617,29
618,19
619,30
620,36
621,25
622,26
623,21
624,26
625,24
626,22
627,36
628,49
629,18
630,19
631,19
632,37
633,30
634,28
635,30
636,22
637,27
638,25
639,25
640,18
641,20
642,26
643,33
644,28
645,25
646,21
647,43
648,40
649,27
650,33
651,33
652,25
653,27
654,24
655,21
656,34
657,32
658,24
659,26
660,42
661,22
662,23
663,28
664,28
665,21
666,24
667,21
668,35
669,25
670,41
671,29
672,30
673,30
674,21
675,33
676,21
677,27
678,20
679,35
680,33
681,22
682,39
683,20
684,31
685,23
686,24
687,28
688,26
689,30
690,20
