Id,Predicted
0,33.19
1,30.28
2,22.56
3,31.485
4,34.33
5,20.06
6,32.39
7,21.48
8,32.1
9,23.78
10,35.48
11,19.67
12,30.48
13,19.47
14,35.56
15,28.57
16,40.475
17,36.045
18,26.815
19,30.72
20,32.86
21,27.2
22,42.71
23,35.14
24,33.27
25,31.55
26,28.06
27,34.0
28,32.69
29,34.22
30,26.16
31,37.69
32,25.08
33,19.81
34,30.3
35,20.69
36,23.24
37,31.61
38,20.39
39,23.89
40,25.78
41,24.43
42,42.68
43,35.44
44,38.7
45,42.12
46,39.98
47,30.68
48,21.15
49,28.0
50,37.35
51,22.81
52,27.53
53,21.33
54,25.12
55,34.225
56,34.645
57,26.735
58,33.68
59,30.31
60,21.08
61,23.54
62,37.82
63,20.778000000000002
64,27.74
65,28.23
66,19.63
67,21.36
68,24.11
69,36.27
70,24.99
71,18.9
72,27.13
73,23.45
74,45.71
75,43.54
76,36.92
77,28.15
78,19.67
79,26.45
80,20.63
81,29.72
82,28.18
83,36.05
84,20.27
85,38.99
86,19.17
87,21.23
88,22.41
89,19.32
90,27.81
91,18.08
92,18.45
93,38.63
94,18.99
95,19.41
96,22.12
97,32.95
98,45.93
99,37.27
100,31.08
101,39.09
102,19.77
103,46.92
104,22.22
105,32.04
106,19.86
107,20.36
108,28.71
109,18.64
110,35.54
111,21.58
112,18.76
113,23.89
114,21.92
115,31.49
116,20.87
117,21.98
118,38.56
119,19.73
120,33.06
121,31.54
122,19.53
123,42.62
124,30.96
125,20.52
126,31.78
127,39.08
128,34.18
129,19.47
130,25.69
131,38.65
132,20.9
133,41.09
134,38.62
135,19.39
136,20.87
137,38.2
138,28.76
139,22.64
140,23.18
141,20.86
142,19.47
143,35.32
144,34.5
145,38.04
146,32.01
147,30.3
148,22.29
149,37.57
150,38.62
151,32.46
152,47.68
153,20.24
154,33.44
155,30.705
156,21.95
157,20.65
158,30.55
159,29.9
160,28.2
161,29.59
162,29.58
163,30.38
164,34.495
165,34.44
166,49.23
167,36.88
168,46.31
169,22.62
170,33.17
171,35.95
172,24.45
173,32.34
174,22.44
175,28.78
176,51.14
177,36.85
178,29.81
179,28.68
180,44.91
181,21.36
182,22.38
183,38.91
184,23.39
185,22.06
186,19.03
187,20.37
188,20.79
189,31.82
190,35.685
191,37.2
192,33.27
193,32.82
194,21.42
195,19.32
196,19.69
197,20.8
198,19.91
199,22.5
200,20.83
201,18.49
202,36.38
203,18.2
204,19.87
205,38.795
206,37.68
207,20.79
208,36.72
209,46.53
210,25.89
211,36.42
212,35.06
213,20.5
214,36.71
215,36.63
216,19.94
217,26.48
218,31.28
219,38.87
220,19.87
221,19.48
222,24.45
223,34.835
224,20.13
225,34.52
226,31.31
227,30.39
228,36.91
229,18.22
230,50.18
231,30.51
232,24.07
233,28.0
234,31.76
235,22.07
236,21.76
237,40.5
238,21.2
239,38.16
240,30.47
241,40.22
242,19.56
243,26.79
244,44.45
245,31.04
246,23.59
247,24.135
248,19.83
249,33.11
250,39.385
251,27.33
252,22.93
253,30.08
254,27.55
255,46.865
256,30.74
257,23.17
258,38.61
259,29.02
260,18.71
261,21.88
262,33.61
263,21.94
264,28.44
265,21.92
266,22.23
267,21.0
268,29.52
269,19.2
270,19.95
271,24.86
272,19.49
273,21.88
274,47.42
275,30.63
276,42.59
277,34.02
278,37.75
279,19.29
280,24.87
281,24.9
282,34.18
283,29.56
284,32.3
285,23.33
286,36.13
287,40.66
288,32.88
289,37.3
290,37.82
291,35.36
292,22.82
293,20.85
294,21.83
295,32.0
296,26.81
297,20.45
298,33.1
299,42.22
300,30.82
301,20.76
302,26.62
303,27.35
304,31.0
305,19.86
306,31.89
307,35.31
308,20.81
309,21.48
310,33.03
311,41.83
312,25.86
313,39.2
314,29.53
315,35.97
316,33.185
317,28.94
318,20.39
319,22.09
320,27.76
321,33.66
322,21.03
323,19.83
324,32.56
325,27.24
326,28.02
327,19.41
328,31.61
329,21.22
330,27.52
331,20.38
332,35.08
333,26.84
334,21.24
335,33.18
336,34.835
337,27.89
338,24.315
339,24.73
340,40.98
341,41.23
342,24.76
343,41.01
344,19.56
345,37.44
346,22.34
347,31.91
348,23.45
349,37.04
350,22.04
351,31.21
352,31.46
353,23.7
354,48.27
355,31.525
356,19.37
357,38.83
358,46.51
359,38.63
360,22.59
361,22.965
362,45.0
363,31.89
364,31.77
365,29.99
366,38.5
367,43.95
368,22.86
369,19.23
370,35.855
371,34.06
372,22.62
373,22.63
374,18.8
375,42.84
376,29.59
377,19.42
378,45.78
379,39.58
380,35.085
381,27.235
382,38.32
383,26.48
384,39.41
385,26.83
386,22.14
387,18.91
388,31.5
389,27.9
390,23.67
391,32.61
392,22.85
393,18.5
394,21.53
395,22.83
396,30.05
397,33.98
398,35.46
399,20.42
400,33.145
401,37.64
402,33.965
403,19.39
404,27.34
405,31.57
406,33.23
407,26.65
408,27.52
409,31.7
410,37.65
411,34.02
412,23.21
413,30.895
414,21.87
415,43.525
416,28.36
417,37.55
418,31.59
419,29.04
420,35.16
421,32.585
422,30.43
423,31.04
424,18.48
425,42.38
426,29.26
427,21.29
428,37.06
429,32.41
430,22.52
431,26.75
432,28.2
433,40.1
434,21.42
435,20.03
436,47.45
437,27.8
438,21.15
439,20.32
440,21.15
441,38.625
442,28.48
443,17.88
444,30.35
445,28.55
446,30.08
447,44.76
448,19.4
449,40.75
450,24.65
451,21.7
452,20.37
453,40.02
454,38.635
455,36.77
