Id,sampling_rate,age,gender,ethnicity,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,path
0,22050,24.0,1,arabic,1821.6906,3999.717,145.43066,0.01379450548252,0.0827253733083098,0.0022538047574122,0.2100933418072089,3112.257251154368,151.99908,-123.9997262692494,69,281,39,23.84689342403628,1.wav
1,22050,22.5,1,hungarian,1297.8187,3998.859,145.37268,0.0253485121269184,0.0962424747690059,0.0078186389297897,0.0788494053171641,1688.0163887765325,129.19922,-86.92847782058215,69,281,21,19.38866213151928,2.wav
2,22050,22.0,1,portuguese,1332.8524,3998.8025,145.42395,0.0190674156460441,0.1194560931686425,0.0029742818449428,0.1053652385572805,2576.9017059374173,117.453835,-98.45066996496276,69,281,1,21.640997732426303,3.wav
3,22050,22.0,1,english,1430.3499,3998.451,147.98083,0.0170036758305884,0.1023892640286828,0.0223705533960699,0.1737011416408668,3269.751413282665,117.453835,-56.45976166487887,69,281,9,19.644126984126984,4.wav
4,22050,22.0,0,dutch,1688.7234,3998.6113,145.44772,0.0280274095640635,0.1248313100805887,0.0053686253221205,0.1072794843560145,1930.897374687883,112.347145,-80.34920393012352,69,281,11,18.041904761904764,5.wav
5,22050,33.0,1,italian,1258.5216,3998.8406,145.61612,0.0256415261226269,0.093994300572409,0.0140009085606509,0.1520361879615551,2350.7475765614263,123.046875,-93.4532295026751,69,281,21,19.59764172335601,6.wav
6,22050,18.0,0,french,1789.0259,3999.5728,145.42523,0.022058885075647,0.1383218670584982,0.0014021478408719,0.1777127475511073,2771.7932365410047,92.28516,-132.86498787401757,69,281,29,21.84997732426304,7.wav
10,22050,28.0,0,hebrew,1111.2589,3999.2314,145.74281,0.0215924437193089,0.1021271188123881,0.0059617519037781,0.0805571212597874,1822.9274436836863,123.046875,-84.30408728079898,69,281,13,17.554285714285715,11.wav
11,22050,20.0,0,farsi,1331.6096,3998.814,145.37558,0.0156853915338826,0.1041882113399699,0.0047872529751417,0.1410549558998414,2297.9556488862286,117.453835,-86.25695812062388,69,281,13,17.99546485260771,12.wav
12,22050,32.0,1,german,1683.1677,3999.7866,145.37051,0.0220877248594145,0.1084095086763988,0.0053801783277857,0.1490093093230694,2183.1706987430566,117.453835,-103.783291110789,69,281,26,17.925804988662133,13.wav
15,22050,44.0,0,nama,1291.2698,3999.6443,145.42297,0.0355137462250735,0.1604323164553452,0.002757798909399,0.1185826878089689,1966.9968189375447,89.10291,-108.80944045199342,69,281,1,31.997097505668933,16.wav
16,22050,32.0,1,english,1172.0302,3999.3564,145.37305,0.0216641298266336,0.1080397140119346,0.001804695959979,0.1394698483747357,2719.5969260070506,129.19922,-120.02461662819242,69,281,10,15.232290249433106,17.wav
18,22050,22.0,1,english,1695.0831,3999.4983,145.42874,0.0255015906609085,0.1634446095921183,0.0022345246714666,0.1262749565972222,2530.73608451984,129.19922,-92.59384030392374,69,281,1,25.899092970521544,19.wav
21,22050,18.0,0,belarusan,1266.5797,3999.6902,145.56848,0.0291336815503729,0.1369158791302976,0.0032255066794727,0.209017974335344,3054.039061309191,99.38402,-94.72334607897598,69,281,17,21.571337868480725,22.wav
